locality,provisional_ballots,absentee_ballots,in_person_ballots,in_person_curbside_ballots,TotalVoteTurnout,ActiveRegisteredVoters,InactiveRegisteredVoters,TotalRegisteredVoters,population,region
RICHMOND COUNTY,0,917,1863,0,2780,5454,185,5639,8923,eastern
ROANOKE CITY,58,9089,17430,1168,27745,61649,4383,66029,100011,west_central
ROANOKE COUNTY,78,10605,26624,460,37767,69579,3640,73219,96929,west_central
ROCKBRIDGE COUNTY,6,2498,6523,26,9053,15667,513,16180,22650,valley
ROCKINGHAM COUNTY,20,6492,24953,357,31822,54633,1918,56551,83757,valley
RUSSELL COUNTY,1,1645,6203,52,7901,18661,514,19175,25781,southwest
SALEM CITY,12,3384,4962,0,8358,16899,984,17883,25346,west_central
SCOTT COUNTY,9,1379,5154,80,6622,15570,440,16010,21576,southwest
SHENANDOAH COUNTY,22,4328,11857,146,16353,30914,1280,32194,44186,valley
SMYTH COUNTY,6,1257,7191,14,8468,19534,585,20119,29800,southwest
SOUTHAMPTON COUNTY,5,1867,5537,14,7423,13736,508,14244,17996,southside
SPOTSYLVANIA COUNTY,4,19959,34552,984,55499,99808,5189,104997,140032,northern
STAFFORD COUNTY,125,16736,40281,393,57535,103642,7298,110940,156927,northern
STAUNTON CITY,20,3414,5744,0,9178,17113,1010,18123,25750,valley
SUFFOLK CITY,0,11520,24987,0,36507,66832,4271,71103,94324,hampton_roads
SURRY COUNTY,0,1134,2181,37,3352,5474,196,5670,6561,hampton_roads
SUSSEX COUNTY,6,858,2565,34,3463,6877,251,7128,10829,southside
TAZEWELL COUNTY,7,3377,8180,153,11717,25844,2230,28074,40429,southwest
VIRGINIA BEACH CITY,449,55609,105665,6506,168229,304917,25310,330226,459470,hampton_roads
WARREN COUNTY,19,3797,10377,164,14357,28864,1493,30357,40727,northern
WASHINGTON COUNTY,20,5201,12731,133,18085,37933,1318,39251,53935,southwest
WAYNESBORO CITY,27,2567,4554,0,7148,14522,935,15457,22196,valley
WESTMORELAND COUNTY,13,2113,4890,58,7074,13547,589,14136,18477,eastern
WILLIAMSBURG CITY,0,2451,2293,104,4848,8897,1305,10202,15425,hampton_roads
WINCHESTER CITY,16,2856,5005,139,8016,16726,1549,18275,28120,valley
WISE COUNTY,13,2332,6972,23,9340,23766,892,24658,36130,southwest
WYTHE COUNTY,8,2287,7184,12,9491,20233,637,20870,28290,southwest
YORK COUNTY,32,12033,15654,367,28086,47676,2947,50623,70045,hampton_roads
